query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	COG_ID
JR316_0000592	984962.XP_009541002.1	1.67e-76	259.0	2EAH9@1|root,2SGR2@2759|Eukaryota,39PYC@33154|Opisthokonta,3Q67A@4751|Fungi,3V7K1@5204|Basidiomycota,22FPZ@155619|Agaricomycetes,3H5HS@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JR316_0001529	80637.XP_007762732.1	1.55e-92	287.0	COG0451@1|root,KOG1502@2759|Eukaryota,38GV9@33154|Opisthokonta,3NVWR@4751|Fungi,3UZAI@5204|Basidiomycota,226YI@155619|Agaricomycetes	4751|Fungi	V	D-lactaldehyde dehydrogenase	-	-	-	-	-	-	-	-	-	-	-	-	Epimerase	COG0451
G7047_RS29445	1502852.FG94_01601	0.0	1207.0	COG0178@1|root,COG0178@2|Bacteria,1MX79@1224|Proteobacteria,2VMTX@28216|Betaproteobacteria,475PY@75682|Oxalobacteraceae	28216|Betaproteobacteria	L	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate	uvrA1	-	-	ko:K03701	ko03420,map03420	-	-	-	ko00000,ko00001,ko03400	-	-	-	ABC_tran	COG0178
PLABR_RS20915	756272.Plabr_4175	0.0	984.0	COG0367@1|root,COG0367@2|Bacteria	2|Bacteria	E	asparagine synthase	-	-	6.3.5.4	ko:K01953	ko00250,ko01100,ko01110,map00250,map01100,map01110	-	R00578	RC00010	ko00000,ko00001,ko01000,ko01002	-	-	-	Asn_synthase,GATase_7	COG0367
PG1C_RS00005	748247.AZKH_4608	1.6199999999999998e-205	590.0	COG0706@1|root,COG0706@2|Bacteria,1MV5M@1224|Proteobacteria,2VHIA@28216|Betaproteobacteria,2KUBX@206389|Rhodocyclales	206389|Rhodocyclales	U	Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins. Aids folding of multispanning membrane proteins	yidC	-	-	ko:K03217	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044,ko03029	2.A.9	-	-	60KD_IMP,YidC_periplas	COG0706
CBR65_RS07535	1265503.KB905173_gene4161	1.0900000000000001e-124	370.0	COG4299@1|root,COG4299@2|Bacteria,1R5FB@1224|Proteobacteria,1S1E0@1236|Gammaproteobacteria,2Q744@267889|Colwelliaceae	1236|Gammaproteobacteria	S	COGs COG4299 conserved	-	-	-	-	-	-	-	-	-	-	-	-	DUF1624,DUF5009	COG4299
CYCME_RS03625	1198232.CYCME_0739	0.0	2720.0	COG0086@1|root,COG0086@2|Bacteria,1MU3M@1224|Proteobacteria,1RPYH@1236|Gammaproteobacteria,45ZP4@72273|Thiotrichales	72273|Thiotrichales	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	rpoC	-	2.7.7.6	ko:K03046	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	RNA_pol_Rpb1_1,RNA_pol_Rpb1_2,RNA_pol_Rpb1_3,RNA_pol_Rpb1_4,RNA_pol_Rpb1_5	COG0086
CYCME_RS04220	1198232.CYCME_0859	1.49e-225	622.0	COG3204@1|root,COG3204@2|Bacteria,1NAG1@1224|Proteobacteria,1SECI@1236|Gammaproteobacteria,462RM@72273|Thiotrichales	72273|Thiotrichales	S	SdiA-regulated	-	-	-	-	-	-	-	-	-	-	-	-	SdiA-regulated	COG3204
LQ772_RS00005	1234364.AMSF01000003_gene2410	0.0	971.0	COG4953@1|root,COG4953@2|Bacteria,1MUA9@1224|Proteobacteria,1RMBV@1236|Gammaproteobacteria,1X4XC@135614|Xanthomonadales	135614|Xanthomonadales	M	penicillin-binding protein	pbpC	-	2.4.1.129	ko:K05367	ko00550,map00550	-	-	-	ko00000,ko00001,ko01000,ko01003,ko01011	-	GT51	-	BiPBP_C,Transgly,Transpeptidase	COG4953
G5J76_RS08185	911239.CF149_17720	0.0	1976.0	COG0841@1|root,COG0841@2|Bacteria,1MU48@1224|Proteobacteria,1RMBN@1236|Gammaproteobacteria	1236|Gammaproteobacteria	V	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family	ttgB	-	-	ko:K18138	ko01501,ko01503,map01501,map01503	M00647,M00699,M00718	-	-	ko00000,ko00001,ko00002,ko01504,ko02000	2.A.6.2	-	-	ACR_tran	COG0841
G5J76_RS14730	911239.CF149_14867	1.24e-277	760.0	COG2822@1|root,COG2822@2|Bacteria,1MWFR@1224|Proteobacteria,1S2E6@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	periplasmic lipoprotein involved in iron transport	efeO	-	-	-	-	-	-	-	-	-	-	-	Cupredoxin_1,Peptidase_M75	COG2822
Q4V72_RS05985	1382356.JQMP01000004_gene651	8.72e-15	81.3	COG1794@1|root,COG1794@2|Bacteria,2G9I5@200795|Chloroflexi,27Y7T@189775|Thermomicrobia	189775|Thermomicrobia	M	Belongs to the aspartate glutamate racemases family	-	-	5.1.1.13	ko:K01779	ko00250,ko01054,map00250,map01054	-	R00491	RC00302	ko00000,ko00001,ko01000	-	-	-	Asp_Glu_race	COG1794
AMOL_RS02810	572480.Arnit_0771	5.4200000000000004e-222	622.0	COG0769@1|root,COG0769@2|Bacteria,1MU6P@1224|Proteobacteria,42NKY@68525|delta/epsilon subdivisions,2YN43@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	M	Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan	murE	-	6.3.2.13	ko:K01928	ko00300,ko00550,map00300,map00550	-	R02788	RC00064,RC00090	ko00000,ko00001,ko01000,ko01011	-	-	-	Mur_ligase_C,Mur_ligase_M	COG0769
DXE33_RS00870	1005048.CFU_2026	2.91e-135	392.0	COG1045@1|root,COG1045@2|Bacteria,1MVFX@1224|Proteobacteria,2VHZF@28216|Betaproteobacteria,472WY@75682|Oxalobacteraceae	28216|Betaproteobacteria	E	Bacterial transferase hexapeptide (six repeats)	srpH	-	2.3.1.30	ko:K00640	ko00270,ko00920,ko01100,ko01110,ko01120,ko01200,ko01230,ko05111,map00270,map00920,map01100,map01110,map01120,map01200,map01230,map05111	M00021	R00586	RC00004,RC00041	ko00000,ko00001,ko00002,ko01000	-	-	-	Hexapep,SATase_N	COG1045
DXE33_RS01415	312153.Pnuc_1389	5.79e-254	700.0	COG1804@1|root,COG1804@2|Bacteria,1MU4A@1224|Proteobacteria,2VKDA@28216|Betaproteobacteria,1JZU6@119060|Burkholderiaceae	28216|Betaproteobacteria	C	L-carnitine dehydratase bile acid-inducible protein F	-	-	-	-	-	-	-	-	-	-	-	-	CoA_transf_3	COG1804
I6L33_RS00005	1448139.AI20_01910	0.0	5019.0	COG2304@1|root,COG2373@1|root,COG2931@1|root,COG2304@2|Bacteria,COG2373@2|Bacteria,COG2931@2|Bacteria,1MU7T@1224|Proteobacteria,1RNK8@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Q	COG2931 RTX toxins and related Ca2 -binding proteins	-	-	-	-	-	-	-	-	-	-	-	-	HemolysinCabind,VWA,VWA_2	COG2304
QQL60_RS02405	1026882.MAMP_02777	0.0	1199.0	COG0366@1|root,COG0366@2|Bacteria,1MVKX@1224|Proteobacteria,1RMXP@1236|Gammaproteobacteria,45ZX1@72273|Thiotrichales	72273|Thiotrichales	G	Alpha amylase, catalytic domain	-	-	2.4.1.7	ko:K00690	ko00500,map00500	-	R00803	RC00028	ko00000,ko00001,ko01000	-	GH13	-	Alpha-amylase	COG0366
MRB58_RS24050	391589.RGAI101_1575	3.93e-61	205.0	COG1638@1|root,COG1638@2|Bacteria,1MW3I@1224|Proteobacteria,2TTF8@28211|Alphaproteobacteria	28211|Alphaproteobacteria	G	COG1638 TRAP-type C4-dicarboxylate transport system, periplasmic component	-	-	-	-	-	-	-	-	-	-	-	-	DctP	COG1638
M6D93_RS00005	1283283.ATXA01000018_gene4150	1.9199999999999998e-147	443.0	COG0226@1|root,COG0226@2|Bacteria,2GKV7@201174|Actinobacteria	201174|Actinobacteria	P	PBP superfamily domain	-	-	-	ko:K02040	ko02010,ko02020,ko05152,map02010,map02020,map05152	M00222	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.7	-	-	BPD_transp_1,PBP_like_2	COG0226
HBAL_RS03075	582402.Hbal_0613	3.44e-204	565.0	COG0702@1|root,COG0702@2|Bacteria,1MW44@1224|Proteobacteria,2U4E5@28211|Alphaproteobacteria,43ZEQ@69657|Hyphomonadaceae	28211|Alphaproteobacteria	GM	NmrA-like family	-	-	-	-	-	-	-	-	-	-	-	-	NAD_binding_10,NmrA	COG0702
HBAL_RS07775	582402.Hbal_1552	1.89e-226	623.0	COG0175@1|root,COG0175@2|Bacteria,1MUCZ@1224|Proteobacteria,2TT2D@28211|Alphaproteobacteria,43WA3@69657|Hyphomonadaceae	28211|Alphaproteobacteria	H	Sulfate adenylyltransferase subunit 2	cysD	-	2.7.7.4	ko:K00957	ko00230,ko00261,ko00450,ko00920,ko01100,ko01120,ko01130,map00230,map00261,map00450,map00920,map01100,map01120,map01130	M00176,M00596	R00529,R04929	RC02809,RC02889	ko00000,ko00001,ko00002,ko01000	-	-	-	PAPS_reduct	COG0175
HBAL_RS09970	582402.Hbal_1987	3.18e-261	716.0	COG0758@1|root,COG0758@2|Bacteria,1MVF6@1224|Proteobacteria,2TRQE@28211|Alphaproteobacteria,43XAY@69657|Hyphomonadaceae	28211|Alphaproteobacteria	LU	Rossmann fold nucleotide-binding protein involved in DNA uptake	dprA	-	-	ko:K04096	-	-	-	-	ko00000	-	-	-	DNA_processg_A	COG0758
EXW63_RS26215	315730.BcerKBAB4_2850	3.55e-150	423.0	COG0572@1|root,COG0572@2|Bacteria	2|Bacteria	F	uridine kinase	-	-	2.7.1.48	ko:K00876	ko00240,ko00983,ko01100,map00240,map00983,map01100	-	R00513,R00516,R00517,R00962,R00964,R00967,R00968,R00970,R01548,R01549,R01880,R02091,R02096,R02097,R02327,R02332,R02371,R02372,R08232	RC00002,RC00017	ko00000,ko00001,ko01000	-	-	-	AAA_18,PRK	COG0572
F0T65_RS00005	1506583.JQJY01000004_gene2831	0.0	1501.0	COG0457@1|root,COG0457@2|Bacteria,4NIBU@976|Bacteroidetes,1HZ35@117743|Flavobacteriia,2NUB2@237|Flavobacterium	976|Bacteroidetes	S	TPR repeat	-	-	-	-	-	-	-	-	-	-	-	-	DUF5107,TPR_16,TPR_8	COG0457
HU752_RS23380	220664.PFL_2566	1.39e-267	738.0	COG3829@1|root,COG3829@2|Bacteria,1NU8B@1224|Proteobacteria,1RM90@1236|Gammaproteobacteria,1YRAX@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	K	Bacterial regulatory protein, Fis family	-	-	-	-	-	-	-	-	-	-	-	-	HTH_8,PAS_4,Sigma54_activat	COG3829
K5J94_RS02150	663952.SDD27957_09160	2.21e-36	123.0	2BWMZ@1|root,304YK@2|Bacteria,1TXF1@1239|Firmicutes,4I6DD@91061|Bacilli,1MA5B@119603|Streptococcus dysgalactiae group	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
J8G15_RS00005	614083.AWQR01000029_gene2092	8.02e-38	136.0	2EIBB@1|root,32TVT@2|Bacteria,1MZJN@1224|Proteobacteria,2VV70@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
J8G15_RS06025	614083.AWQR01000018_gene1901	1.4400000000000002e-302	831.0	COG1012@1|root,COG1012@2|Bacteria,1MU1V@1224|Proteobacteria,2VHNV@28216|Betaproteobacteria,4AB55@80864|Comamonadaceae	28216|Betaproteobacteria	C	belongs to the aldehyde dehydrogenase family	puuC	-	1.2.1.54,1.2.1.8,1.2.1.99	ko:K00130,ko:K09472,ko:K12254	ko00260,ko00330,ko01100,map00260,map00330,map01100	M00136,M00555	R02549,R02565,R02566,R03177,R07417,R07418	RC00080	ko00000,ko00001,ko00002,ko01000	-	-	-	Aldedh	COG1012
CRN91_RS00005	1323663.AROI01000013_gene225	1.57e-69	226.0	COG2070@1|root,COG2070@2|Bacteria,1MU0U@1224|Proteobacteria,1RTQR@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	2-nitropropane dioxygenase	-	-	1.13.12.16	ko:K00459	ko00910,map00910	-	R00025	RC02541,RC02759	ko00000,ko00001,ko01000	-	-	-	NMO	COG2070
FG342_RS00005	568703.LGG_02450	1.03e-127	377.0	COG0577@1|root,COG0577@2|Bacteria,1TVQ4@1239|Firmicutes,4IRU4@91061|Bacilli,3FBQ0@33958|Lactobacillaceae	91061|Bacilli	V	FtsX-like permease family	-	-	-	ko:K02004	-	M00258	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	FtsX	COG0577
XF36_RS00005	570268.ANBB01000025_gene5735	2.61e-47	166.0	COG2375@1|root,COG2375@2|Bacteria,2GK5X@201174|Actinobacteria,4EHJG@85012|Streptosporangiales	201174|Actinobacteria	P	Siderophore-interacting FAD-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	FAD_binding_9,SIP	COG2375
I6L39_RS00005	998088.B565_2745	1.4799999999999999e-170	489.0	COG0577@1|root,COG0577@2|Bacteria,1PBKH@1224|Proteobacteria,1T1FT@1236|Gammaproteobacteria,1Y6MX@135624|Aeromonadales	135624|Aeromonadales	V	COG0577 ABC-type antimicrobial peptide transport system, permease component	-	-	-	ko:K02004	-	M00258	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	FtsX	COG0577
KG102_RS11890	446466.Cfla_2355	1.3000000000000002e-145	414.0	COG0463@1|root,COG0463@2|Bacteria,2GM44@201174|Actinobacteria	201174|Actinobacteria	M	PFAM Glycosyl transferase family 2	-	-	-	-	-	-	-	-	-	-	-	-	Glycos_transf_2	COG0463
C5L36_0C02660	4909.A0A099P8E7	1.8599999999999998e-138	396.0	COG2340@1|root,KOG3017@2759|Eukaryota,3A626@33154|Opisthokonta,3NZQD@4751|Fungi,3QM7Z@4890|Ascomycota,3RRYQ@4891|Saccharomycetes	4751|Fungi	S	Belongs to the CRISP family	-	GO:0000287,GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0005488,GO:0005496,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005737,GO:0005773,GO:0005783,GO:0006810,GO:0006869,GO:0008150,GO:0008289,GO:0009277,GO:0010876,GO:0012505,GO:0015485,GO:0015850,GO:0015918,GO:0030312,GO:0031967,GO:0031975,GO:0032934,GO:0033036,GO:0036094,GO:0043167,GO:0043169,GO:0043178,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0046872,GO:0051179,GO:0051234,GO:0071702,GO:0071944,GO:0097159	-	-	-	-	-	-	-	-	-	-	CAP	COG2340
C5L36_0C02670	13684.SNOT_07524	7.89e-20	99.8	KOG1721@1|root,KOG1721@2759|Eukaryota,39YRZ@33154|Opisthokonta,3P15N@4751|Fungi,3QUFT@4890|Ascomycota,208XU@147541|Dothideomycetes	4751|Fungi	S	Zinc finger, C2H2 type	-	-	-	ko:K21543	-	-	-	-	ko00000,ko03000	-	-	-	NACHT,zf-C2H2	-
C5L36_0C07200	4909.A0A099NYV5	7.32e-195	570.0	2CN9Y@1|root,2QUR8@2759|Eukaryota,38Q8K@33154|Opisthokonta,3P162@4751|Fungi	4751|Fungi	S	stress protein ddr48	-	-	-	ko:K22493	-	-	-	-	ko00000,ko00537	-	-	-	-	-
C5L36_0C10270	4909.A0A099P7L6	0.0	1833.0	KOG0601@1|root,KOG0601@2759|Eukaryota,38E4K@33154|Opisthokonta,3NUW3@4751|Fungi,3QMT3@4890|Ascomycota,3RS3Q@4891|Saccharomycetes	4751|Fungi	D	to Saccharomyces cerevisiae SWE1 (YJL187C)	SWE1	GO:0000075,GO:0000076,GO:0000077,GO:0000079,GO:0000086,GO:0000166,GO:0000278,GO:0000320,GO:0000902,GO:0001932,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004713,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005815,GO:0005816,GO:0005856,GO:0005933,GO:0005935,GO:0005938,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006974,GO:0007049,GO:0007093,GO:0007095,GO:0007154,GO:0007165,GO:0007346,GO:0008144,GO:0008150,GO:0008152,GO:0008361,GO:0009405,GO:0009653,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010389,GO:0010556,GO:0010564,GO:0010639,GO:0010695,GO:0010697,GO:0010948,GO:0010972,GO:0015630,GO:0016043,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0018108,GO:0018193,GO:0018212,GO:0019216,GO:0019220,GO:0019222,GO:0019538,GO:0022402,GO:0023052,GO:0030427,GO:0030554,GO:0031097,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031399,GO:0031570,GO:0031572,GO:0031974,GO:0031981,GO:0032153,GO:0032155,GO:0032268,GO:0032502,GO:0032535,GO:0032553,GO:0032555,GO:0032559,GO:0032886,GO:0032989,GO:0033043,GO:0033314,GO:0033554,GO:0035556,GO:0035639,GO:0035690,GO:0036094,GO:0036211,GO:0040020,GO:0042221,GO:0042325,GO:0042493,GO:0042770,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043549,GO:0044087,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044419,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044444,GO:0044446,GO:0044448,GO:0044464,GO:0044732,GO:0044770,GO:0044772,GO:0044773,GO:0044774,GO:0044818,GO:0044839,GO:0044878,GO:0044879,GO:0045786,GO:0045834,GO:0045859,GO:0045930,GO:0046889,GO:0046890,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048856,GO:0048869,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051128,GO:0051129,GO:0051171,GO:0051173,GO:0051174,GO:0051246,GO:0051338,GO:0051445,GO:0051447,GO:0051493,GO:0051494,GO:0051704,GO:0051716,GO:0051726,GO:0051783,GO:0060255,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070507,GO:0070887,GO:0071341,GO:0071704,GO:0071840,GO:0071900,GO:0071944,GO:0072395,GO:0072401,GO:0072413,GO:0072422,GO:0080090,GO:0090066,GO:0090153,GO:0090154,GO:0097159,GO:0097367,GO:0099568,GO:0099738,GO:0110030,GO:0110031,GO:0140096,GO:1901265,GO:1901363,GO:1901564,GO:1901987,GO:1901988,GO:1901990,GO:1901991,GO:1901993,GO:1901994,GO:1902402,GO:1902403,GO:1902749,GO:1902750,GO:1903047,GO:1904029,GO:1905038,GO:2000241,GO:2000242	2.7.11.1	ko:K03114	ko04011,ko04111,ko04113,map04011,map04111,map04113	M00693	-	-	ko00000,ko00001,ko00002,ko01000	-	-	-	Pkinase	-
A6037_RS00005	233412.HD_1320	6.07e-152	441.0	COG4262@1|root,COG4262@2|Bacteria,1QXJG@1224|Proteobacteria,1RQQ8@1236|Gammaproteobacteria,1YA1I@135625|Pasteurellales	1236|Gammaproteobacteria	S	Spermine/spermidine synthase domain	-	-	-	-	-	-	-	-	-	-	-	-	Spermine_synth	COG4262
Sp245p_RS26855	1212548.B381_00660	6.4e-228	667.0	COG4773@1|root,COG4773@2|Bacteria,1QTT0@1224|Proteobacteria,1RNBT@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	Receptor	-	-	-	ko:K02014	-	-	-	-	ko00000,ko02000	1.B.14	-	-	Plug,STN,TonB_dep_Rec	COG4773
LK994_RS00005	153721.MYP_3831	2.35e-31	123.0	COG0545@1|root,COG0545@2|Bacteria,4NDW4@976|Bacteroidetes,47K8M@768503|Cytophagia	976|Bacteroidetes	O	Domain amino terminal to FKBP-type peptidyl-prolyl isomerase	fklB	-	5.2.1.8	ko:K03772,ko:K03773	-	-	-	-	ko00000,ko01000,ko03110	-	-	-	FKBP_C,FKBP_N	COG0545
EL338_RS00005	1440774.Y900_013340	2.6200000000000002e-273	758.0	COG0593@1|root,COG0593@2|Bacteria,2GJKI@201174|Actinobacteria,232TF@1762|Mycobacteriaceae	201174|Actinobacteria	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006163,GO:0006164,GO:0006172,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009133,GO:0009135,GO:0009136,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009179,GO:0009180,GO:0009185,GO:0009188,GO:0009259,GO:0009260,GO:0009987,GO:0016020,GO:0016311,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0030312,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0034654,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046031,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:0090304,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990837	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C	COG0593
EQY75_RS00005	1121875.KB907553_gene78	1.73e-183	531.0	COG1283@1|root,COG1283@2|Bacteria,4NHMY@976|Bacteroidetes,1HYFK@117743|Flavobacteriia	976|Bacteroidetes	P	Na+/Pi-cotransporter	-	-	-	ko:K03324	-	-	-	-	ko00000,ko02000	2.A.58.2	-	-	Na_Pi_cotrans,PhoU	COG1283
MWM05_RS00005	262724.TT_C1607	0.0	1066.0	COG0445@1|root,COG0445@2|Bacteria,1WJG2@1297|Deinococcus-Thermus	1297|Deinococcus-Thermus	D	NAD-binding protein involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA-cmnm(5)s(2)U34	gidA	GO:0000166,GO:0001510,GO:0002097,GO:0002098,GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0030488,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0048037,GO:0050660,GO:0050662,GO:0071704,GO:0090304,GO:0097159,GO:1901265,GO:1901360,GO:1901363	-	ko:K03495	-	-	R08701	RC00053,RC00209,RC00870	ko00000,ko03016,ko03036	-	-	-	GIDA,GIDA_assoc	COG0445
L103DPR2_RS05620	640081.Dsui_1172	1.81e-301	842.0	COG1138@1|root,COG1138@2|Bacteria,1MUQS@1224|Proteobacteria,2VHUE@28216|Betaproteobacteria,2KUNW@206389|Rhodocyclales	206389|Rhodocyclales	O	Cytochrome c	ccmF	-	-	ko:K02198	-	-	-	-	ko00000,ko02000	9.B.14.1	-	-	CcmF_C,Cytochrom_C_asm	COG1138
L103DPR2_RS14520	1245471.PCA10_05210	8.73e-17	88.2	COG2931@1|root,COG2931@2|Bacteria,1MU7T@1224|Proteobacteria,1RWKU@1236|Gammaproteobacteria,1YK09@136841|Pseudomonas aeruginosa group	1236|Gammaproteobacteria	Q	Haemolysin-type calcium-binding repeat (2 copies)	-	-	3.4.24.40	ko:K01406	ko01503,map01503	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	HemolysinCabind	COG2931
L103DPR2_RS10960	1144342.PMI40_03953	2.57e-154	548.0	COG0689@1|root,COG0747@1|root,COG2931@1|root,COG3210@1|root,COG4254@1|root,COG4932@1|root,COG0689@2|Bacteria,COG0747@2|Bacteria,COG2931@2|Bacteria,COG3210@2|Bacteria,COG4254@2|Bacteria,COG4932@2|Bacteria,1MU7T@1224|Proteobacteria,2VNQS@28216|Betaproteobacteria	28216|Betaproteobacteria	Q	COG2931, RTX toxins and related Ca2 -binding proteins	-	-	-	ko:K20276	ko02024,map02024	-	-	-	ko00000,ko00001	-	-	-	Big_3_2,Big_3_3,HemolysinCabind	COG0689
AXW83_RS00005	1197906.CAJQ02000015_gene255	0.0	946.0	COG0243@1|root,COG3383@1|root,COG0243@2|Bacteria,COG3383@2|Bacteria,1MW3N@1224|Proteobacteria,2TTPX@28211|Alphaproteobacteria,3JSU1@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	Molybdopterin oxidoreductase Fe4S4 domain	-	-	1.17.1.9	ko:K00123	ko00630,ko00680,ko01100,ko01120,ko01200,map00630,map00680,map01100,map01120,map01200	-	R00519	RC02796	ko00000,ko00001,ko01000	-	-	-	Molybdop_Fe4S4,Molybdopterin,Molydop_binding	COG0243
AXW83_RS19500	1510531.JQJJ01000013_gene424	7.270000000000001e-77	235.0	COG0319@1|root,COG0319@2|Bacteria,1MZ67@1224|Proteobacteria,2UBXV@28211|Alphaproteobacteria,3JWAC@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	J	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA	ybeY	-	-	ko:K07042	-	-	-	-	ko00000,ko03009	-	-	-	UPF0054	COG0319
AXW83_RS22485	762376.AXYL_06314	1.03e-06	60.5	2E08Y@1|root,32VWJ@2|Bacteria,1PJYU@1224|Proteobacteria,2W8AK@28216|Betaproteobacteria,3T6CJ@506|Alcaligenaceae	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
